idx,id,lon,lat
463,1322,29.0361766534356,40.9906843524079
464,1323,29.0361489464801,40.9897840969868
465,1324,29.0361212407792,40.9888838414093
466,1325,29.036093536333,40.9879835856752
467,1326,29.0360658331413,40.9870833297846
468,1327,29.0360381312041,40.9861830737375
469,1328,29.0360104305212,40.985282817534
470,1329,29.0359827310927,40.9843825611739
471,1330,29.0359550329185,40.9834823046574
472,1331,29.0359273359985,40.9825820479843
473,1332,29.0358996403327,40.9816817911548
474,1333,29.0359981612089,40.9808789626534
475,1334,29.0363820909934,40.9802784598496
476,1337,29.035976421115,40.9770615478731
477,1338,29.0351959389218,40.9763807868506
478,1339,29.035389713331,40.9753587688647
479,1340,29.035863107494,40.9744138978396
480,1341,29.0357628174693,40.9739384003116
481,1344,29.0352562758644,40.9706843936702
482,1345,29.0354852419564,40.9699423343192
483,1346,29.0355120326604,40.9690781791111
484,1347,29.0354406959558,40.968206502305
485,1348,29.0351541285084,40.9674048292873
486,1349,29.0348734823645,40.9668079725531
487,1370,29.037912330521,41.0119662142321
488,1371,29.0380027499595,41.011369168105
489,1372,29.0379749979721,41.0104689169463
490,1373,29.0379472472416,41.0095686656311
491,1374,29.0379194977679,41.0086684141593
492,1375,29.0378917495509,41.0077681625309
493,1376,29.0378640025907,41.006867910746
494,1377,29.0378362568871,41.0059676588046
495,1378,29.03780851244,41.0050674067066
496,1379,29.0377807692495,41.0041671544521
497,1380,29.0377530273153,41.003266902041
498,1381,29.0377252866376,41.0023666494734
499,1382,29.0376975472161,41.0014663967492
500,1383,29.0376698090509,41.0005661438685
501,1384,29.0376420721419,40.9996658908313
502,1385,29.037614336489,40.9987656376375
503,1386,29.0375866020921,40.9978653842872
504,1387,29.0375588689512,40.9969651307804
505,1388,29.0375311370662,40.996064877117
506,1389,29.037503406437,40.9951646232972
507,1390,29.0374756770637,40.9942643693208
508,1391,29.0374479489461,40.9933641151878
509,1392,29.0374202220841,40.9924638608984
510,1393,29.0373924964777,40.9915636064524
511,1394,29.0373647721268,40.9906633518499
512,1395,29.0373370490314,40.9897630970909
513,1396,29.0373093271914,40.9888628421753
514,1397,29.0372816066068,40.9879625871033
515,1398,29.0372538872773,40.9870623318747
516,1399,29.0372261692031,40.9861620764896
517,1400,29.0371984523841,40.985261820948
518,1401,29.0371707368201,40.9843615652499
519,1402,29.0371430225111,40.9834613093953
520,1403,29.0371153094571,40.9825610533842
521,1404,29.0370875976579,40.9816607972166
522,1405,29.0370598871136,40.9807605408924
523,1406,29.0371869610192,40.9799827536511
524,1407,29.0375775063124,40.9793650333627
525,1408,29.0373490099735,40.9776481511456
526,1409,29.0368004539544,40.9773766078837
527,1412,29.0369795940601,40.9742914872455
528,1413,29.0370273677715,40.9739919800603
529,1417,29.0367427828774,40.9696490269625
530,1418,29.0367019195598,40.9690693249266
531,1419,29.0363087941102,40.9684685984101
532,1442,29.0387436840058,41.0118454473807
533,1443,29.0391436392204,41.0113016741544
534,1444,29.0391634706685,41.0104478895736
535,1445,29.0391357037821,41.0095476389212
536,1446,29.0391079381533,41.0086473881122
537,1447,29.0390801737819,41.0077471371466
538,1448,29.039052410668,41.0068468860245
539,1449,29.0390246488114,41.0059466347458
540,1450,29.0389968882121,41.0050463833106
541,1451,29.0389691288701,41.0041461317188
542,1452,29.0389413707852,41.0032458799704
543,1453,29.0389136139574,41.0023456280655
544,1454,29.0388858583866,41.001445376004
545,1455,29.0388581040729,41.000545123786
546,1456,29.038830351016,40.9996448714114
547,1457,29.0388025992159,40.9987446188803
548,1458,29.0387748486726,40.9978443661926
549,1459,29.0387470993861,40.9969441133484
550,1460,29.0387193513562,40.9960438603476
551,1461,29.0386916045828,40.9951436071902
552,1462,29.038663859066,40.9942433538764
553,1463,29.0386361148056,40.9933431004059
554,1464,29.0386083718017,40.992442846779
555,1465,29.038580630054,40.9915425929955
556,1466,29.0385528895626,40.9906423390554
557,1467,29.0385251503274,40.9897420849589
558,1468,29.0384974123483,40.9888418307058
559,1469,29.0384696756252,40.9879415762961
560,1470,29.0384419401582,40.9870413217299
561,1471,29.0384142059471,40.9861410670072
562,1472,29.0383864729919,40.985240812128
