Run_ID,Seed,K,Population_Size,Archive_Size,Max_Generations,Crossover_Rate,Mutation_Rate,Total_Evaluations,Final_HV,Final_HV_Ratio,Final_ND_Count,Final_Best_F1,Final_Best_F2,Runtime_ms
197,123,7,50,25,202,0.90,0.05,15200,1.208655,0.998889,6,0.658067,0.341885,7239
198,7,7,50,25,202,0.90,0.05,15200,1.209382,0.999489,8,0.699286,0.252203,7283
199,42,7,50,25,202,0.90,0.10,15200,1.208753,0.998969,16,0.675571,0.305426,7187
200,123,7,50,25,202,0.90,0.10,15200,1.209030,0.999198,20,0.654926,0.327064,7520
201,7,7,50,25,202,0.90,0.10,15200,1.209500,0.999587,18,0.662377,0.258679,7100
202,42,7,50,25,202,0.90,0.20,15200,1.209196,0.999335,14,0.617338,0.280616,7122
203,123,7,50,25,202,0.90,0.20,15200,1.209337,0.999452,15,0.643613,0.217341,6899
204,7,7,50,25,202,0.90,0.20,15200,1.209122,0.999275,15,0.655583,0.196003,7028
205,42,7,50,25,202,0.90,0.30,15200,1.209928,0.999940,7,0.662417,0.240131,7179
206,123,7,50,25,202,0.90,0.30,15200,1.209360,0.999471,9,0.620698,0.231639,7166
207,7,7,50,25,202,0.90,0.30,15200,1.209534,0.999615,11,0.630888,0.186705,7726
208,42,7,50,25,202,0.90,0.40,15200,1.209659,0.999718,23,0.637182,0.301452,7589
209,123,7,50,25,202,0.90,0.40,15200,1.209421,0.999521,25,0.615666,0.274239,7588
210,7,7,50,25,202,0.90,0.40,15200,1.208744,0.998962,16,0.634059,0.208644,7756
211,42,7,100,50,100,0.70,0.05,15100,1.209295,0.999417,11,0.665162,0.309103,9450
212,123,7,100,50,100,0.70,0.05,15100,1.209700,0.999752,5,0.661796,0.309903,8406
213,7,7,100,50,100,0.70,0.05,15100,1.209779,0.999818,8,0.632593,0.353197,6726
214,42,7,100,50,100,0.70,0.10,15100,1.209575,0.999648,5,0.649676,0.283234,6857
215,123,7,100,50,100,0.70,0.10,15100,1.208598,0.998841,19,0.669888,0.263708,6941
216,7,7,100,50,100,0.70,0.10,15100,1.209350,0.999463,18,0.669992,0.334163,7099
217,42,7,100,50,100,0.70,0.20,15100,1.209337,0.999452,10,0.670798,0.327601,7470
218,123,7,100,50,100,0.70,0.20,15100,1.209305,0.999426,10,0.633163,0.179260,7435
219,7,7,100,50,100,0.70,0.20,15100,1.209709,0.999759,10,0.642019,0.191967,7399
220,42,7,100,50,100,0.70,0.30,15100,1.209376,0.999484,15,0.636485,0.222322,7503
221,123,7,100,50,100,0.70,0.30,15100,1.208765,0.998979,22,0.611314,0.340767,7274
222,7,7,100,50,100,0.70,0.30,15100,1.209880,0.999900,8,0.664779,0.263960,7273
223,42,7,100,50,100,0.70,0.40,15100,1.208447,0.998717,9,0.620846,0.233416,7793
224,123,7,100,50,100,0.70,0.40,15100,1.209378,0.999486,20,0.662367,0.202728,7852
225,7,7,100,50,100,0.70,0.40,15100,1.209712,0.999762,8,0.646042,0.223886,7865
226,42,7,100,50,100,0.90,0.05,15100,1.209430,0.999529,17,0.686015,0.367757,7260
227,123,7,100,50,100,0.90,0.05,15100,1.209283,0.999407,17,0.652258,0.265622,7241
228,7,7,100,50,100,0.90,0.05,15100,1.209638,0.999701,5,0.680951,0.368532,7017
229,42,7,100,50,100,0.90,0.10,15100,1.208112,0.998439,10,0.642530,0.292711,7242
230,123,7,100,50,100,0.90,0.10,15100,1.208090,0.998421,17,0.660712,0.291623,7493
231,7,7,100,50,100,0.90,0.10,15100,1.209612,0.999679,7,0.626176,0.299547,7330
232,42,7,100,50,100,0.90,0.20,15100,1.209707,0.999758,9,0.659915,0.265831,7653
233,123,7,100,50,100,0.90,0.20,15100,1.209084,0.999243,19,0.658808,0.327593,7582
