run_id,run_label,generation,stage,chromosome,f1,f2
20260419_190507_run04,run04,20,periodic_nd,1173|2624|2783|4143|4591,0.9287208989572707,0.4788546318632556
20260419_190507_run04,run04,20,periodic_nd,1173|2348|2904|4143|4591,0.9422339812638456,0.46936622756159174
20260419_190507_run04,run04,20,periodic_nd,1173|2561|2624|4076|4591,0.9855046203987082,0.439568010310109
20260419_190507_run04,run04,20,periodic_nd,1173|2561|2624|4591|4715,1.0353951499349516,0.4366134368058798
20260419_190507_run04,run04,25,periodic_nd,1173|2279|2624|4143|4591,0.9391758795284374,0.43272742736426073
20260419_190507_run04,run04,25,periodic_nd,1173|2427|2624|4435|4591,1.0112378987784831,0.4186366699093309
20260419_190507_run04,run04,25,periodic_nd,1173|2427|2624|4143|4591,0.9550139851679198,0.41959434586803773
20260419_190507_run04,run04,25,periodic_nd,1173|2348|2624|4143|4591,0.9312734162099667,0.44301976657018094
20260419_190507_run04,run04,25,periodic_nd,1173|2624|2783|4143|4591,0.9287208989572707,0.4788546318632556
20260419_190507_run04,run04,25,periodic_nd,1173|2624|2783|4069|4591,0.9278013261823177,0.4819483932466017
20260419_190507_run04,run04,30,periodic_nd,1173|2279|2624|4143|4591,0.9391758795284374,0.43272742736426073
20260419_190507_run04,run04,30,periodic_nd,1173|2427|2624|4143|4591,0.9550139851679198,0.41959434586803773
20260419_190507_run04,run04,30,periodic_nd,1173|2624|2783|4069|4591,0.9278013261823177,0.4819483932466017
20260419_190507_run04,run04,30,periodic_nd,1173|2624|2783|4143|4591,0.9287208989572707,0.4788546318632556
20260419_190507_run04,run04,30,periodic_nd,1173|2427|2624|4435|4591,1.0112378987784831,0.4186366699093309
20260419_190507_run04,run04,30,periodic_nd,1173|2348|2624|4143|4591,0.9312734162099667,0.44301976657018094
20260419_190507_run04,run04,30,final_nd,1173|2279|2624|4143|4591,0.9391758795284374,0.43272742736426073
20260419_190507_run04,run04,30,final_nd,1173|2427|2624|4143|4591,0.9550139851679198,0.41959434586803773
20260419_190507_run04,run04,30,final_nd,1173|2624|2783|4069|4591,0.9278013261823177,0.4819483932466017
20260419_190507_run04,run04,30,final_nd,1173|2624|2783|4143|4591,0.9287208989572707,0.4788546318632556
20260419_190507_run04,run04,30,final_nd,1173|2427|2624|4435|4591,1.0112378987784831,0.4186366699093309
20260419_190507_run04,run04,30,final_nd,1173|2348|2624|4143|4591,0.9312734162099667,0.44301976657018094
20260419_190522_run05,run05,0,gen0_nd,1347|1390|2710|4578|4583,1.3942982840613882,0.6091771074502005
20260419_190522_run05,run05,0,gen0_nd,1536|2923|3045|4521|5234,1.2051556756596813,0.6733622121710608
20260419_190522_run05,run05,0,gen0_nd,1029|2567|3131|3652|4722,1.220209341630299,0.6376678871004585
20260419_190522_run05,run05,0,gen0_nd,1105|2341|3502|3913|5013,1.1461411009678955,0.6769581355455835
20260419_190522_run05,run05,5,periodic_nd,1345|1390|2918|4354|4803,1.0631750359541117,0.5121535332324819
