archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
37,389|754|885|2281|2498|3044|4083|4205|4734|5101,0.9186777242631509,0.6545777688979724,1.0,1.0,102,3090,0.4870602069200318,3090.48706020692
38,451|605|1395|1516|2279|3651|3986|4359|4950|5303,0.751143425623258,0.7719819323410496,1.0,1.0,121,3171,0.4882716694988052,3171.4882716694988
39,1099|1228|1884|2135|3773|4276|4529|4731|4864|5009,0.9976817256233174,0.6584870502886117,1.0,1.0,77,3287,0.48343971022235277,3287.4834397102222
40,449|1480|1606|1609|2058|2636|3143|3855|4498|4950,0.7674366902625406,0.7201100966971669,1.0,1.0,138,3385,0.4901976891656011,3385.4901976891656
41,1016|1386|1690|1959|3631|3860|4937|4943|5031|5247,0.778044927000423,0.7112376944460886,1.0,1.0,139,3385,0.49037152405807005,3385.490371524058
42,1032|2482|2706|2994|3123|3706|3944|4216|4670|5028,0.753138184548262,0.8057135180758955,1.0,1.0,109,3408,0.4883336059812511,3408.488333605981
43,663|896|1633|1754|2541|2646|3419|5095|5241|5381,0.9104709152280117,0.6636386296512954,1.0,1.0,103,3512,0.4879859244325124,3512.4879859244325
44,379|394|1613|2111|2341|3702|3790|3803|4235|4719,0.754921314428779,0.8895684003613556,1.0,1.0,75,3688,0.48223945321756895,3688.4822394532175
45,1323|1822|2927|3646|3708|3854|4229|4642|4817|5097,0.7580023247088039,0.8201389812152226,1.0,1.0,98,3688,0.48789940702991286,3688.48789940703
46,315|1608|2709|2841|2908|3348|4162|4284|4378|4434,0.7648763174828285,0.8108065355196823,1.0,1.0,104,3688,0.48980051756013737,3688.48980051756
47,968|1201|2036|2339|3726|3786|4002|4353|5035|5462,0.7666095881187623,0.8157963100424684,1.0,1.0,100,3792,0.48919352058461973,3792.4891935205846
48,380|814|1239|1663|2176|2703|3210|4943|5008|5169,0.876423291443129,0.6724457073056788,1.0,1.0,115,3845,0.4887711195008112,3845.4887711195006
49,1312|1374|1623|1628|3565|3726|4139|4229|5085|5599,0.7891007318747725,0.7629054854207028,1.0,1.0,111,3946,0.4888685181023475,3946.488868518102
50,1479|1606|1685|2335|2570|3649|3842|3948|4024|5309,0.8015261005947685,0.7227928596215194,1.0,1.0,124,3979,0.48964095999651697,3979.4896409599964
51,815|1204|1320|3126|3294|3635|4206|4524|4722|5459,0.7935861408550475,0.7304609550959995,1.0,1.0,121,3979,0.4905755872751272,3979.490575587275
52,393|1167|1705|2787|3556|4017|4210|4291|4869|5241,0.7799390671379663,0.789137200843983,1.0,1.0,107,4067,0.49024417356656147,4067.4902441735667
53,679|1236|1680|1968|2623|2769|3501|3789|4732|5026,0.7693581094177118,0.8121800561087485,1.0,1.0,100,4099,0.49011280482216957,4099.490112804822
54,452|1301|1378|2272|2842|3409|3728|4013|4370|4790,0.8905122542055468,0.6775916647013933,1.0,1.0,109,4121,0.48901399013101937,4121.489013990131
55,452|671|1114|1735|1743|2060|3289|3849|3986|5314,0.824335694265309,0.7085604872986924,1.0,1.0,129,4292,0.48979540192808696,4292.489795401928
56,1521|1624|2403|2772|2925|3806|3944|4227|4580|5094,0.7765814858059767,0.8472849422494481,1.0,1.0,85,4397,0.4880918224596424,4397.48809182246
57,812|1167|1682|1905|2690|2975|3123|4005|4082|4736,0.8350063925314973,0.7021152669698811,1.0,1.0,123,4415,0.48994264474293486,4415.489942644743
